刘佳(00:08:08): 各位领导和同事能听到我说话吗？我看那个人都齐了，我们就开始吧！
刘佳(00:12:54): 稍等，现在还卡吗？

陈俊(00:13:06): 可以了。刚刚听不清。

刘佳(00:13:09): 现在可以了，那我来说一下，我们现在这的梳理流程过程当中遇到的第一个坎。医生带患者填写信息？

刘佳(00:13:49): 机号来的去下单，但是这里面我们就在讨论说，如果说是医生用自己的手机号去给患者下单的话，那么是否会存在医生带患者发起互联网问诊，以及有这个指定检查项目和指定机构的这个风险，在合规上是不是会有一些风险？这个事情需要跟各位领导讨论，确认一下。

陈俊(00:14:22): 不这样的，你就你链喂听得到吗？

刘佳(00:14:28): 我能听到。

陈俊(00:14:29): 对那就这样的，我们就直接也抓点紧，就不去讲，就是这个叫什么，这不去延展太多，因为上次是我们已经基于之前的那个链路，我们是把大家的意见都相互交流一下，这个之前你大家看过没有，就你现在这一版。

刘佳(00:14:53): 我发给对我把文件发给各位领导了。

陈俊(00:14:59): 对就袁博肯定看过了涂律师跟飞总你们看过没有？

涂丰涛(00:15:07): 我看了。

涂丰涛(00:15:16): 我还是建议就是开单的医生，他所服务的这个患者跟他要做提供解读报告的这个服务对应的患者，不要11对应，因为他这个患者去到医医去到开单医生这里的时候，我理解他是在医院已经挂了号的。然后在整个诊疗过程中，你后面又把它给串联起来，他还要给他的报告去做一个解读，然后平台还要向医生去支付服务费，到时候很难解释。看起来就很明显，就是他医生向这个平台去推介了这个患者。

陈俊(00:16:05): 好这一点能办到不，袁博上次你你说的从技术上能办到？

袁戎(00:16:11): 我知道对我们上次讨论过这个问题，我不记得，我觉得我飞总老师可以提下，因为我记得上次我们讨论的时候，其实有个结论就是其实这个一对应就是风险可能不是那么大，这个。怎么说就是患者挂号，医生告诉他是一个场景嘛，就我们其实提到还有我们会把他很多场景会放到一起来就他不一定是一定要挂号来做了检查，医生其而且第二个就是医生其实推荐的就说医生来做一个建议嘛，他在这个里面他做的是这个平台上，你去选择一个机构里来做检查。因为这样就11对应的时候，可能从我们从医疗的里面可能会更合适。从合规角度就是不从医疗的角度会更合适，但从合规角度可能是有风险，但我其实我个人是觉得风险是不是很大，我记得上次我们讨论这一点，其实最后大家结论是说就先按11对应的这样来。对吗。

袁戎(00:17:19): 喂，大家听到。

陈俊(00:17:21): 喂我听到没分一手你你怎么看这个问题？我跟你讲，他可能没有那个不一定听到了。

李飞宇(00:17:32): 不是等下我这照片的不是没事，现在能听到吗？

陈俊(00:17:40): 啥听不到喂？

李飞宇(00:17:45): 他这个一对应不一定，其实我们以前想过很多的办法，你比如说是，比如说他帮咱们做宣教写什么，就是你如果说不一定就两能不能可能不可能就是解答的时候匿名化。我这个患者是可能是他来的，但是患者在让他解答的时候，我们把名字什么都去掉，虽然是11对应的，但就是在表面上看的就是他对应不起来，有没有可能？

袁戎(00:18:17): 做到只是把名字取掉，当然很容易做到。

李飞宇(00:18:22): 他在解答患者的时候，其实在很多的平台上面的话，就医生在解答给患者进行解答的时候，可以知道患者的性别，知道他的年龄，知道他的主诉，但是不知道他的姓名。是这样的，就是为了保护患者的隐私，好多就是在做检查的时候的话，要是不知道患者姓名的，这有没有用这种方法是不是会好一些？

袁戎(00:18:47): 那就其实我们实际还是对应，因为因为他其实很多时候我们就从运营的角度，就之前剧组提了好多次，就是关于医生，其实他希望知道哪些人。他推荐最后实际做了检查的他其实医生需要有一个这样列表，当我们把姓名隐掉就只有主诉，这些东西可以。

李飞宇(00:19:09): 我就用这种方法是个折折中的方法。

袁戎(00:19:14): 那涂丰涛你觉得这样可以吗？

陈俊(00:19:15): 患者知不知道是哪位医生给他在做解读？

李飞宇(00:19:22): 通常是患者知道医生医生不知道患者。去看图例是你你觉得用这种方法？就表面上我们是把这些患者做完检查的都放在一个大池子里边匿名化之后，然后交给那一些医生去解读，但是还是我们把它一对一了，它表面上看的话，匿名化之后扔在一个大池子里。

陈俊(00:19:59): 这个是担心什么是患者举报。

袁戎(00:20:09): 那我们也可以把也把医生也可以匿名化掉，就比如说只给个职称这种合适吗？

李飞宇(00:20:15): 那还有一种是那就是交叉的，你把比如说是拿几个科的医生进行一个交叉吧，就偷偷是神经内科的，那你推荐的病人那个大夫，我就分组嘛。分组来搞嘛？

袁戎(00:20:32): 对交叉，我们其实我们上次也讨论过嘛，就交叉可以解决这个问题，但从医生那边就从一个他交叉之后，他其实看不到他最后比如我今天推荐了10个，但是可能只有两个付费了，但其实这个信息医生他是不知道的，因为他推荐完了就完了，但是很多医生可能他需要他希望知道。就类似于像对账，他其实看这个列表本质上是一个对账的行为，但是我们不会显示给他对账。

李飞宇(00:21:04): 他这个追踪不到吗？他？

袁戎(00:21:08): 你说是哪个最终不搭？

李飞宇(00:21:12): 等一下水中不大烫。

袁戎(00:21:14): 因为我们先想的11对应的本质其实就是医生，他要解读的人就是他推荐的患者付费的人，这两个表其实是一个表，只是我们叫的名字不一样。

陈俊(00:21:27): 我打断一下你就是不是如果能够做到交叉，比如说张数去。

袁戎(00:21:27): 如果你错开了之后其实知道。

陈俊(00:21:39): 给封存的患者做解读，封城的给张数做解读，江西省的交给湖南去做解读，湖南的交给江西来做解读，这个从技术上能办到吧，能办到我建议还是要交叉，就是不要。就是谁推过来的，他解读谁的尽量不要这样，为什么哈，就我不知道你们有没有关注，就现在昨天又搞了一个医疗医药代表的管理规定，你们看的吗？有没有看到就是8月1号开始实行，就是多部委发了一个文，就是医药代表不能去承担销售指标的任务，就推广药品，干嘛的，这个适用范围也会适用在耗材什么的。现在好如果你们随便网上搜一下，现在就可以搜得到，就是这个时候商他，但是他成他现在针对的对象就是医药代表。

袁戎(00:22:34): 听得到？

涂丰涛(00:22:35): 听得到军总听得到！

陈俊(00:22:46): 医药代表器械跟其他的现在还没有去定义它，那说明什么，说明国家开始你跟所有这种事情就绑。他开始会关注到，那我们如果从技术上能够交叉，我觉得是最好的就能吗？

袁戎(00:23:09): 这个我刚说就是技术上是可以实现的，这个交叉肯定技术上就是那我们就是让大家统一好，就包括运给运营那边也要告诉就是医生，他就是他因为。也医生从开单的角度，他就会有个信他就是我今天我可能会推荐好多患者，因为他是两个是异步的过程，就是我推荐给你和你支付这两个行为，他有可能是分开的，就是我推荐了你可能不支付，或者你支付了之后取消了这个都是存在的实际的情况。现在就是医生，他不知道，就是我推荐了十个人里面到底多少个人实际交费了，做了检查，他不知道这个信息。

李飞宇(00:23:46): 他推荐过来的病人，他看不到那些病人的报告吗？他不做解答的，他能够看到报告吧？他的互联网医院或者是通过某种方式开的那些的话，他应该能够看到那些患者的报告吧，那就证明如果有报告就证明患者做了没报告就。

袁戎(00:24:08): 我们本来想的就是他要解读的人，因为他解读肯定要看到报告嘛，就他解读的这个列表就是他推荐的，做了检查的人的列表，这两个表是一样，但是现在如果交叉过来，他看到的就是他要解读的报告。

李飞宇(00:24:09): 没有吗。

袁戎(00:24:25): 和他的患者就其实不是同一个嘛，就不是同人，对不对，那我们通过来就是我们通过什么逻辑来显示他推荐了并且支付了的人。

李飞宇(00:24:38): 首先咱们这个底层逻辑要看这个大夫，不管是他是公立院的民营机构的还是什么机构的，他开了个单子，然后到咱们交护中心做完检查之后，那这个医生是希望不希望看到这个报告，还是说我看完之后我就没我的事了。

袁戎(00:24:52): 对。飞总我知道医生肯定是希望看到报告的，但是我们在这个前面是因为我们开的检查单，其实不是这个医生这种平台上面。你你你理解意思就是平台就是实际给患者开检查单的医生不是在临床线下给他开检查单的医生。

李飞宇(00:25:22): 那我知道不是医生，他只要能看见报告就行。你现在咱们的，你说。

袁戎(00:25:29): 现在就是线下的这个医生，现在就是线下的医生，我们怎么给他一个逻辑，让他看得到他推荐了患者，并且交费那个报告。

李飞宇(00:25:40): 不是在咱们的系统里边有实现的可能没有做一个关联。

袁戎(00:25:46): 那不就成那不，那么我们的交叉不就没有用了吗？但是那就成了还是两个现象，就我推荐的越多，我的解读越多，那你那我们这个合做这个合规的那就很交，那我们去交叉去做解读不就没有意义了吗？因为你本质就还是挂钩了，就是我推荐的多，我的解读就多。

李飞宇(00:26:07): 不是，那你不管是他看到的报他推荐多，他看到的报告多和推荐的多，他就是那个解读的报告多，那不是一样吗。

袁戎(00:26:20): 我就说是一样的！我们交叉就交叉的意义就没有了！

李飞宇(00:26:28): 不是如果他想办法能让他看到那些就是他开了之后哪些做了检查，然后有结果，那就证明他是那个嘛，但是他解读不一定是解解读他。这些医患者的解读别的，那我再想你的就哪怕解读别的，比如他这边开了5个，做了5个，那然后他在别的地方解读了5个，你就会把它挂上钩是这意思吧？

袁戎(00:26:51): 对，不然他不然我们怎么怎么把那个医生他的相当于本身他的费用会增加，我们通过解读会提高他的费用？

李飞宇(00:27:02): 那你要是深究的话，那肯定他是这样，不管是解读自己做的和解读，别人弄的话，那他肯定都是推荐的越多，他这个通过解读，不管是解读自己还是别人拿的越多，这是没法克服的。

袁戎(00:27:17): 所以我就是说我们这个交叉的意义就很有限了，如果说他看不到自己推荐的，这个就没关系，就是因为这样就从平台上展示不出来。

李飞宇(00:27:26): 不是交叉的话，你比如说他推荐了5个，然后他给别人解读了5个，他拿的不是他推荐的5个钱是解读了五份报告，他实在是解读了五份报告。

袁戎(00:27:41): 那还是要让他推荐的，那他那假设我们不去做这个交叉，不也是这个逻辑吗？

李飞宇(00:27:45): 不是现在这现推荐和这个解读这完全割裂开了，他推荐了几个交，虽然说在咱们上面，他是肯定是按照推荐多少交给他多少去解读吧，可是你从外人看过来的话，他解读是按照他解读的工作量拿的这个钱？

袁戎(00:28:00): 没有飞总你你听我的意思就是他推荐的是推进这个动作是个线下的动作平台是没有记录的。你理解吧，就推进这个行为，其实是平台不会做记录，所以核心说我们去显示他解读的人，假设我不做交叉，他看到的也是五个。

李飞宇(00:28:15): 我明白我。

袁戎(00:28:30): 就推荐这个行为其实是线下做的，我们平台上会有这个过程，但是不会有记录。

陈俊(00:28:37): 不对你你怎么会，我就举个例子，比如说我就假设一种场景，我现在我作为一个暗访，我来暗访我假装一个病人，我就找这个患找这个医生。他肯定需要来说服我跟我建议我为什么要到这个平台上去下单，然后我们这里面就会有个动作就是医生帮他。开出检察建议。就会生成一个二维码，这个时候老百姓就要扫一下他的二维码。就这个事情怎么去解释，然后好弄完之后我这个报告解读也回到你这来了。

袁戎(00:29:30): 等于前面那个动作，扫这个二维码的这个动作，它其实是它只是把刘佳你可以往后后面翻一下你的 PPT。少的其实只是把他医生跟他填什么主诉的信息带过来，再往下回家。扫了这个码之后，你看这你说的扫码再往下，你再往下翻一点，这就是医生他帮他选，这是开单嘛，这就是我们说的，我们叫开单建议看见他其实是把信息带到这里来。

刘佳(00:29:53): 这里吗。

袁戎(00:30:08): 他其实是会带到互联网医生之后，把这些信息会带到患者跟我们青藤互联网医院的职业医生的信息里面来。所以这个过程他最后签字就是处方检查处方开检查处方的这个人其实是心疼的互联网医院的医生。

陈俊(00:30:34): 这一点我理解就是。

袁戎(00:30:37): 就像我们对，就像我们去买药一样，那个售货员，药店的售货员他会给我建议，比如说我咳嗽，他会给我建议一种药，然后我买了之后，但是这个处方他假设我要用医保之后，他就会开个处方，这个处方其实是另外一个医生，这个医生我根本没见过这个医生，他也不会做任何的操作，他在这上面署了一个名。我就可以支付了，我们在买药的过程包括我们在线下买药的过程都是这样子的，买药是我自己选择的吧，就我患者主动选择了，但我在线下买药的时候，其实这个人这个售货员他就会给我推荐的。

袁戎(00:31:14): 来刘佳你再往下。喂刘佳好，这个过程里对你再问好，这里你可以看到他就是选择要解读的报告，这个要解读的话，我们其实是在对医生而言，他其实要解读的话，就我们说匿名化这个都没问题，不管是说匿名医生还是匿名患者，这个是都没问题的，他看到的，我们只是要告诉医生就线下的运营其实会告诉你，他要解读的这些人其实就是他。

刘佳(00:31:21): 在我再往下。

袁戎(00:31:46): 你可以认为他推荐成功了，或者这个患者成功支付了的人，就是这个列表里边就是他要去解，就他要解读的表和他去看报告，他要去关注的这些就是费用的，其实都是他只是做同一张表，这个表在我们平台里面，我们叫做他需要待解读的报告。我觉得主播非常这样讲。我们是交叉的来，我们其实除了就这个图上就现在展现的这个 slice 上的这个表就第一个表就是除了这样一个它待解读的报告的列表，其实我还需要再做一个就是。他开单成功的其实反而怎么说，就是那个表，你都不知道叫什么名字，就他为什么会出现这样一个东西出来，对不对，他其实他因为他的建议过程其实是个线下的过程，从平台而言，本身平台不会去记录他，现就他我可以建议很多人，我每个人都可以建议我可以建议100个人，100个人可能只有5个人，他是真正支付了的。

陈俊(00:33:07): 这个非常有趣，擦边儿对冒充的太多了，违法每天胡律师你你来表达一下，看看这个从你这个维度，你你你怎么看？

涂丰涛(00:33:25): 我想问一下，推荐的这个患者去我们平台上就诊的这个医生，如果说这个患者他拍完片子之后，这个医生这个患者他还会回流到这个医生这边来就诊？逻辑上是这样的。他拍完片子了，医生是通过什么方式去看他的片子？

袁戎(00:33:57): 待解读报告里面就是他可以看到他的片子，我要解读我当然我要看到他的报告，他的影像。

涂丰涛(00:34:10): 它一定是要11对应。如果是交叉的话，他就没法去看他的片子。

袁戎(00:34:19): 这交叉可以看就是技术上看，但是我们交叉，如果我们给他一个什么你去看。

涂丰涛(00:34:34): 反过来讲，他反过来讲哈，如果说他认为他推荐的这些人都做了检查，然后我们告诉他只有几个中间有差异的时候，他是可以通过其他的方式去到我们平台上去查看他推荐的这些人有没有去做。

涂丰涛(00:34:53): 可以这样理解？

袁戎(00:34:58): 你说在现在逻辑下吗？现在这个对，就他要解读的就是他实际交付了的，就实际交费了的。

涂丰涛(00:35:03): 因为。不是如果说是交叉解读哈，如果是交叉解读，通过这种方式给他确认，他推荐的人有没有实际去做这个检查？那我们他实际推荐了五个，他推荐了5个实际做了三个，然后我们推了三个给他去做解读，我们告诉他你你你可以结算的就是三个嘛，他可能说你是四个怎么样的，如果说对这个数数量有差异的时候，我们他是不是可以在平台上去查询他推荐的这些人有没有实际做完检查？

袁戎(00:35:54): 说是交叉的话，就我们这个页面没有展示交叉的那个逻辑，如果是交叉的话，就是我们要另外设计一个方式，你说的就是他肯定会关注嘛，那我们以什么方式给他看到。

涂丰涛(00:35:55): 因为。

袁戎(00:36:07): 这三他只做了三个人，就包括刚刚说的飞总提的问题也是一样，就是我其实我肯定我作为一个临床的医生，我肯定关心我就是我要看到我最后的报告就是这个人做了检查，我作为他的临床医生，我要看到这个报告，我也没地方给他看，现在。

涂丰涛(00:36:41): 因为从我的角度来看，我担心的点在哪，就是像这个患者到这个医生到这个临床医生这边去就诊的时候，他大概率是在这家医院已经挂了号，他只有挂完号之后，他才可能到这个临床医生这边去。去就诊，然后反过来，如果说我们又把他推把这个临床医生把他推到我们平台上去做了检查，反向我们平台又委托这个医生给这个做完检查的这个患者去做解读，他就可以串联起来，相当于他就给我们推荐了这个服务，推荐了这个推荐他这个医生向我们平台推荐了患者，我们又另外向医生又支付了所谓的解读费。这个就很容易被解读为我们给他的被解释了。

袁戎(00:37:29): 那能不能像飞宇总说的，比如说我们可以做双向匿名吗？我们患者也匿名医生也匿名这种方式。

陈俊(00:37:44): 你说什么双向的，刚没听清。

袁戎(00:37:48): 就是患者也匿名，就先说就是被动说就是医生解读的时候，他看不到患者的名字嘛。但是最后解读报告里面我们也不展示医生的名字。可以吗。

涂丰涛(00:38:02): 因为从从这个面上来看的话，它说医生不知道患者不知道医生，但从后台来看的话，他还是11对应的关系嘛。

陈俊(00:38:17): 这是一点，还有一点，如果医生看不到患者的姓名信息，他怎么去查阅报告或者查阅影像资料？

李飞宇(00:38:31): 不是这个解毒神，咱们看事实是虚，你弄这个解读就是事实的，首先要看你就是为了钱付出去，还是真的要弄一个解读一个这样的。

李飞宇(00:38:45): 一个对患者起到一个真正的帮助，咱们先来看这个事情，其实我觉得你看咱们现在起点中心的话。因为很多东西，它能通过这种线下的一种方式，或者通过，比如说的确是不留痕的方式，后面的医生开了多少，咱得到多少，做了之后攒一块，比如说。每天是人，每天的下午下班的时候在我们来负责他的运营人员都会跟他沟通，都是留了一个临时的表可能一周就销毁了，经常是用这样的一个方式才能完全去规避嘛，但是也不是完全规避这个事。那如果说咱们这个将来流量很大的话，用这种方式他就很难去做成这个了。那就在真的想，比如说一下命名或者叫啥东西，我觉得先弄虚，再弄实，就先有这个动作，能够把这个钱的话通过一种合理的方式支付出去，然后是实在。有些患者是要详细的填一个报告解读完了再看。

李飞宇(00:39:48): 我觉得这两个分开看吧，这两个你比如说患者的话，他以这样的名字，我说他都是能够看到他所有的其他的信息，他的主诉，他的病史，他的年龄，他的性别，他的一些这些基基本资料，我看来就是看不到性别。不影响他去解读。

陈俊(00:40:10): 我倒是这样想，我们从平台的功能来讲，医生他开了检查建议，就这条信息，他就一直要连贯到他可以查看他的报告，也可以观察到他有没有缴费，这个权限全给他开了。包括退费什么的，这些全给他开了开通，但是这一条动作我们不会给他任何费用，然后我们用交叉的方式去解决付钱的问题，就比方说他可以看看到他总共完成了这个月完成了5050条这个检查建议也别人也付了钱，然后我会从比方张数，我就派50条解读，我派给他封城这边的来看。这种方式就是两张皮，互相不交叉来弄。这种方式可不？

陈俊(00:41:10): 就是从开开单的这个医生不叫开单吧，开了检查建议的这个医生，他可以监测到或者查阅到这个老百姓，他最后付钱是不是已缴费状态已出报告状态，这个状态他全部可以看到全部查阅，从他这一个这个版面来讲。然后他去接单，接这个报告解读的这个实打实的工作，我们不要说玩虚的就给他真实的要做这些事情，然后我们给他派单过去了，他也写了，但他写的这个报告解读是异地的，跟他这个检查建议这个事情是没有关系的检查建议是我们相当于我们是。方便他看病，我们给了他这套工具，方便他看病，但是没有利益关联，就从这个角度来讲是没有利益关联的。而报告解读如果比方说有监察对象或者监管部门来看的时候，那我不是给我这边的人在做解读，我是给外省的人做解读，那个平台才给我钱。这就没有对应这个事情我讲清楚了没有，袁博跟涂律师你们怎么看？

袁戎(00:42:26): 我知道你的意思，但是我还是想对我看涂律师的意见，因为本身我们做这个动作其实是为了满足合规，就是相当于就是你能看到我能推荐了多少个成功嘛，我推荐的成功越多，我的报告解读越多，那这个事情本身合不合规？就是一样的逻辑，就现在我们相当于我们现在我们先不给他看到这个表，就根本这个建议，这个过程根本不在平台显示，就看这两种方式，哪种风险更小，我的理解就是这样。

陈俊(00:42:59): 周律师。你看。

涂丰涛(00:43:04): 我认为那个交叉之后肯定那个风险是要相对更小的，但你不能说这个就是完全合规的，只能说相对来说是合规的，因为你就说你做一个解读，为什么他要你要给他那么多钱，你给钱的依据是什么，标准是什么？跟他提供的服务的内容是否相匹配的他这个东西都是综合去看的，但是交叉肯定比那个11对应要。从合规的角度来讲，肯定是更优于。

胡高鹏(00:43:40): 有个点我想补充一下，就是涂律师，你刚刚提到一个点，就是在12月份待解读报告这一块的话，最关键的点是在于说我医生给患者开了10个，然后后面回到我手上的话，就有12份待解读的这个报告11对应关系，这样的话会很造成这种合规的影响，那是否能在这个待解读，这里的话，我比如说我点待解读，比如说我把待解读换掉，换成报告的话，不是有那个优先级吗？a 级 B 级我 a 级的话，就是我自己就是可能说我真实推荐的患者是患者 b 级的话可能就是一些脏数据，然后这种方式的话，去把这个水搅浑，就不让他看的那么11对应这种方式会不会更好？

胡高鹏(00:44:23): 我刚刚听到俊总说把之前的那些医生把他的前面的推荐的患者的支付，然后那些东西都展示给医生，这样的，我感觉前面的链路可能更清晰一点，如果说单纯医生只关注他这个页面，我只解读这个报告，但是我只看到 a 级的真实后台系统推荐给我的 B 级 CC 级，那些加急的那些报告就我就不用去解读，让医生不要解读这样的脏数据，这种方式，然后就去让他那个11对应关系弱化很多这样的方式，我觉得这样改动会更小一点。然后这整体的话就是报告医生指医生的话只关注这个页面，前面电路也没这么复杂。我不知道有没有讲清楚。

胡高鹏(00:45:11): 涂律师您觉得这样可以吗？

涂丰涛(00:45:11): 那意思就是他所推荐的患者最终还是留到他这边来去做解读？

胡高鹏(00:45:18): 对，但是我会在前面比待解读，这里我会换成两个标签叫 a 级和 B 级就是报告嘛，就是优不同的优先级，那 a 级的话可能是他的，然后 B 级的话可能另外的一些患者，但是不用他解读，但是他也会存在他的全部的数据里面。那这样的话，对于报告医生来对，就对于这个医生来说，如果说举报了他就他说我也不是11对应关系，我还有其他的医生，我并没有给他推荐，我并没有在一开始的时候给他推荐服务都不认识。不就把这个。

涂丰涛(00:45:48): 不是就是我理解你的意思就是他真实解读的就是他的，他推荐的那个患者，因为这里面会存在一个什么问题，就是你最终结算的时候是根据什么去结算，你还是根据你解读量去做结算，那实际上你你就是对你的这个推荐的这个人做了解读，然后你又只结结，只有工作量结算了这一笔服务费，你。会串起来？

胡高鹏(00:46:19): 只要解决了这个11对应的关系就可以合规了，只有这一个点。

涂丰涛(00:46:19): 对就是看起来相对合规，这个东西它并不是说就一定100%的合规是吗？因为我们这么设计的目的也是要也要把拿不到台面开单费给到他？

刘佳(00:46:43): 可不可以这样，我们现在设想的给医生的这个费用是通过报告解读费来给的，那我们其实还有其他一些方式，比如说除了报告解读之外，我们还有让医生写个科普，他来审核他审核了之后，我们给他一笔钱，我们可以再想一些类似于其他的这种服务，不是只有报告解读服务，然后这样混在一起是不是就会好一些？

涂丰涛(00:47:12): 科普的话到时候怎么去定价？

刘佳(00:47:15): 定价的话？

涂丰涛(00:47:16): 你要会最终要串联起来，就是跟你的推荐的人数，这个收费的比例，跟这些东西串起来，最终还是这样。

刘佳(00:47:29): 定价的话，我们昨天在跟袁博包括今天跟高鹏一起讨论的时候，我们想着说把那个比如说 ct 核磁，然后按项目的类别这样来设一个标准的定价。你比如说 ct 我们就设一个 C 一个 ct 就是50块钱。然后核磁的话，一个核磁就是100块钱，这样子来一个标准的定价。科普内容的审核，那我一个科普内容审核，我可以给他10块钱，那相当于我做5个科普内容的审核，就相当于做了一个 CT。

涂丰涛(00:48:21): 这个具有可操作性吗？说只有几个医生，我觉得还好一点，那如果你有几十几百个医生，有那么多科普文章去审吗？它是真实的提供了审阅修改建议，这些东西。

刘佳(00:48:39): 我理解我们的科普文章完全可以放到我们的青藤互联网医院上去，就是我们的页面下面完全可以挂很多的科普文章，我觉得。很多他们都是在这么干！我觉得是不冲突的。无非看我们想挂多少文章。

袁戎(00:49:04): 刘佳我建议是说那个东西作为一个补充，我觉得核心肯定还是因为你那个东西你很难满足足够的量，就假如量大的话，你的报告量，医生量都多的时候，我觉得你很难保证那么多，就是只能作为一个补充之后做一些额外的，但是就还是我们回到就是这现在 PPT 展示这个页面就刚刚俊总讨论就是相当于交叉性质的嘛，然后高鹏提的另外但是高鹏讲的我没有特别的。理解就是刚刚你说的如果是加个标签的话，等于说我能看到我自己的也是要解读的，然后我还能看到别人要解读的，那假设我这个医生我解读了别人的。是不是我建议的人，那我们付不付钱平台？

胡高鹏(00:49:48): 我指的是在待解读那一块，把那个标签待解读换换成两个，就是没有，就是 a 级 b 级那种方式。

袁戎(00:49:59): 我知道，那我就是比如说你说 a 级就是我建议的就是我这个患者，这本质上就是我的患者嘛，那 B 级不是我的患者帮我解读了 b 级现在平台付钱。

胡高鹏(00:50:21): 我刚卡了一下。

袁戎(00:50:26): 如果在你待解读的里面有我的患者也有不是我的患者混到一起，那如果我解读了不是我的患者。

胡高鹏(00:50:33): 对。

袁戎(00:50:37): 平台要那怎么给他结算？

胡高鹏(00:50:43): 我就是有一个最终的，比如说第这个页面的第三张788，这个不管他，比如说我有8个那个患者是我自己的，你就解了9个10个，只要这个金额对应上这个788个是不是就可以了，那即使不是我的患者，我能不能把它金额给它拆掉，能这样吗？那样对账的方式。就这样的就不就那个涂律师，他不是说11对应的吗？我感觉好像可能只有这种加一些不是他的患者，然后把那个金额给他拆掉，然后只要反正医生关心的就是你欠我780块8块钱，你只要把这钱给我就可以了。能这样放置吗？

胡高鹏(00:51:29): 解读不是我的患者和我的患者，只要我都解读这钱是对的，他就可以了。

陈俊(00:51:40): 我觉得是这样的事情也不要讨论这么纠结，我刚刚仔细想一下这个事情就是两个维度来看，第一个先解决看病的问题，他一定要数据，就是回来就你你你得知道他的能看到他的影像资料，能够看到他的报告。不然的话他是病看不了他无法进行下去，所以这是一个逻辑，就是看病把病看完这个事情，然后给他公开哪些信息，他无非就是要看到影像的这个图像要看到报告，这是这一个逻辑，那第二个就解决付钱，就他要拿到他相应的劳动报酬，那就给他派活，就是不要派本地的，派外地派给他。甚至有些地方是正儿八经的需要解读的就真实需要解读的，就比如说这个老百姓，他需要进一步的，但是我不相信这个诊所的医生的这个水平，我还需要进一步的去选择这个做报告解读，我想找到北京天坛医院的专家。

陈俊(00:52:50): 那收费吗？你你明白我的意思吗？就是报告解读这个事情就二次解读啥的，这本身就是一个收费项，本身就是一个正儿八经的一个功能。可以吗？我不要从平台的这个开发角度来讲复杂吧，就是你看病这个事情让他就看完这个事情才能查到影像资料，然后他想赚钱，这个事情我就给他派活做报告解读。然后做报告解读你刚刚说的 a 什么标签或者 B 标签的紧迫程度等等这个事情，我觉得就也不是那么重要吧，因为他看的是。非本地的都是外地的。值数量相等。

胡高鹏(00:53:44): 但是对于我平常的话也跟璇老师沟通，然后他说医生的话还是很在意他开了多少单，比如说我前面开了10单，推荐了10个人，但最终只有三个人跟我成交了，他还是很希望看到，然后这三个人是我自己的那个对应的患者的，不然他会觉得你平台给我推荐其他的省份的或者干嘛，然后那你是不是平台是要搞一些什么样的操作，然后忽悠钱，说是直接的。

陈俊(00:53:44): 觉得？

